shareholder,value,percent,share_type,share_code
中央汇金资产管理有限责任公司,10156300,1.606,流通A股,000418
香港中央结算有限公司,9818148,1.552,流通A股,000418
长沙通程实业(集团)有限公司,240972484,44.330,流通A股,000419
湖南天辰建设有限责任公司,7305090,1.344,流通A股,000419
湖南星电建设实业集团股份有限公司,5887499,1.083,流通A股,000419
长沙水业集团有限公司,3748290,0.690,流通A股,000419
北京郁金香天玑资本管理中心(有限合伙),93750000,4.757,流通A股,000420
吉林化纤集团有限责任公司,61608410,3.126,流通A股,000420
吉林九富资产经营管理有限公司,21875000,1.110,流通A股,000420
南京公用控股(集团)有限公司,105730560,18.463,流通A股,000421
南京市城市建设投资控股(集团)有限责任公司,25210448,4.402,流通A股,000421
南京高淳港华燃气有限公司,8593750,1.501,流通A股,000421
大众交通(集团)股份有限公司,6094231,1.064,流通A股,000421
上海强生集团有限公司,4492800,0.785,流通A股,000421
西部信托有限公司,2720250,0.475,流通A股,000421
湖北宜化集团有限责任公司,153176189,17.060,流通A股,000422
中央汇金资产管理有限责任公司,29697400,3.308,流通A股,000422
华润东阿阿胶有限公司,151351731,23.142,流通A股,000423
华润医药投资有限公司,32710771,5.001,流通A股,000423
香港中央结算有限公司,31614720,4.834,流通A股,000423
中央汇金资产管理有限责任公司,9339600,1.428,流通A股,000423
MERRILLLYNCHINTERNATIONAL,7322509,1.120,流通A股,000423
徐工集团工程机械有限公司,2982258618,42.557,流通A股,000425
上海农村商业银行股份有限公司,125428152,1.790,流通A股,000425
中国证券金融股份有限公司,123359553,1.760,流通A股,000425
香港中央结算有限公司,43366758,0.619,流通A股,000425
内蒙古兴业集团股份有限公司,318117138,17.025,流通A股,000426
甘肃西北矿业集团有限公司,184331798,9.865,流通A股,000426
赤峰富龙公用(集团)有限责任公司,139638194,7.473,流通A股,000426
新疆鑫泰益众股权投资有限公司,19747000,1.057,流通A股,000426
华天实业控股集团有限公司,330908920,32.476,流通A股,000428
广东省交通集团有限公司,103379742,4.944,流通A股,000429
